time;inertia.phi;springDamper.tau
0.00000000000000E+00;0.00000000000000E+00;-2.61799387799150E+00
6.00000000000000E-02;4.60562229475095E-03;-2.42039022806948E+00
1.20000000000000E-01;1.79026494867232E-02;-2.14997665213121E+00
1.80000000000000E-01;3.89222559724513E-02;-1.82040954845289E+00
2.40000000000000E-01;6.64822480265739E-02;-1.44661583359466E+00
3.00000000000000E-01;9.92423368106165E-02;-1.04418661426171E+00
3.60000000000000E-01;1.35760116665598E-01;-6.28793389892452E-01
4.20000000000000E-01;1.74542731320204E-01;-2.15675321168210E-01
4.80000000000000E-01;2.14103822276230E-01;1.80871546702582E-01
5.40000000000000E-01;2.53021474554219E-01;5.48004882084462E-01
6.00000000000000E-01;2.89978917663540E-01;8.74667205166739E-01
6.60000000000000E-01;3.23802402371590E-01;1.15183833275293E+00
7.20000000000000E-01;3.53495721703318E-01;1.37273981990460E+00
7.80000000000000E-01;3.78265303467709E-01;1.53295250668286E+00
8.40000000000000E-01;3.97535172487832E-01;1.63043223515431E+00
9.00000000000000E-01;4.10954118123394E-01;1.66543636385038E+00
9.60000000000000E-01;4.18395459052512E-01;1.64038385887937E+00
1.02000000000000E+00;4.19948190174593E-01;1.55964500949519E+00
1.08000000000000E+00;4.15901188568827E-01;1.42927612519118E+00
1.14000000000000E+00;4.06721461402037E-01;1.25670885003738E+00
1.20000000000000E+00;3.93027788548232E-01;1.05041273876438E+00
1.26000000000000E+00;3.75560126652814E-01;8.19538864215170E-01
1.32000000000000E+00;3.55146789199704E-01;5.73561759205089E-01
1.38000000000000E+00;3.32670453342049E-01;3.21929866173561E-01
1.44000000000000E+00;3.09034271605544E-01;7.37381753801817E-02
1.50000000000000E+00;2.85129174863973E-01;-1.62567751556462E-01
1.56000000000000E+00;2.61803564221878E-01;-3.79448323580479E-01
1.62000000000000E+00;2.39836298697996E-01;-5.70479125354937E-01
1.68000000000000E+00;2.19913519450644E-01;-7.30510990761623E-01
1.74000000000000E+00;2.02610168767913E-01;-8.55774616599253E-01
1.80000000000000E+00;1.88376452190058E-01;-9.43931379468894E-01
1.86000000000000E+00;1.77529482126035E-01;-9.94070920806631E-01
1.92000000000000E+00;1.70249884793290E-01;-1.00666068124390E+00
1.98000000000000E+00;1.66583465837153E-01;-9.83449198132977E-01
2.04000000000000E+00;1.66447506265259E-01;-9.27330199845815E-01
2.10000000000000E+00;1.69641154247200E-01;-8.42174971312991E-01
2.16000000000000E+00;1.75859248954947E-01;-7.32641008427402E-01
2.22000000000000E+00;1.84709014795134E-01;-6.03963981027404E-01
2.28000000000000E+00;1.95728891711549E-01;-4.61741346134964E-01
